title,type,dates,members,score
Girls Note,Manga (2 vols),Jun 2014 - Aug 2015,61 members,N/A
Katasumi Otome Once More,Manga (? vols),Jan 2014 -,36 members,N/A
Ichigoda-san no Hanashi,Manga (6 vols),Mar 2006 - Feb 2010,26 members,N/A
Eisei Usagi TV,Manga (2 vols),May 2006 - Sep 2007,32 members,N/A
Shin Toshi Densetsu,Manga (3 vols),Nov 2012 - Dec 2015,24 members,N/A
Wataru Seken wa Baka bakari,Manga (2 vols),Apr 2013 - Jan 2014,56 members,N/A
Ippitsu Nyuukon!,Manga (3 vols),Dec 2010 - May 2012,31 members,N/A
Shobo-nyan,Manga (3 vols),Dec 2010 - Feb 2012,20 members,N/A
Nobunaga Sixteen,Manga (1 vols),Feb 2012 - Apr 2013,38 members,N/A
Futago no Teikoku,Manga (? vols),Aug 2015 -,370 members,N/A
Pan de Peace!,Manga (5 vols),Aug 2014 - Nov 2017,456 members,N/A
Oukoku Shinwa,Novel (2 vols),Jan 2004 - Jun 2004,20 members,N/A
Tengoku ni Namida wa Iranai,Novel (12 vols),Feb 2001 - Mar 2011,22 members,N/A
Robot Imouto: Aratame Jinrui Mina Kyoudai! Mezameyo Ai no Imoutoryoku,Novel (1 vols),Aug 2004 - Aug 2004,16 members,N/A
Sakura-ment: Manatsu no Sakura ni Yakusoku wo,Novel (1 vols),Jan 2005 - Jan 2005,16 members,N/A
Terra Formars: The Outer Mission,Novel (? vols),Nov 2014 -,198 members,N/A
Aobara Hakushaku to Dansou no Shitsuji,Novel (? vols),Aug 2015 -,14 members,N/A
Hime no Karei naru Dorei Seikatsu,Novel (1 vols),Aug 2015 - Aug 2015,28 members,N/A
Kakurehime Irogatari,Novel (? vols),Aug 2015 -,33 members,N/A
Kaidanzaka no Mahoutsukai,Novel (? vols),Aug 2015 -,20 members,N/A
Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou,Manga (17 vols),2003 - 2007,65 members,N/A
ZelDen!: Nariyuki Yuusha Link-kun,Manga (? vols),2014 -,84 members,N/A
Ninja Mono,Novel (1 vols),May 1996 - May 1996,35 members,N/A
Order wa Tantei ni,Manga (2 vols),Dec 2014 - Jan 2015,60 members,N/A
Sonna Chi wo Hiku Senshi-tachi,Novel (1 vols),May 1995 - May 1995,13 members,N/A
Tactical Judgment,Novel (9 vols),Jan 2003 - Nov 2006,28 members,N/A
Tactical Judgment SS,Novel (4 vols),Jul 2004 - Aug 2007,24 members,N/A
Saigo no Worst,Manga (? vols),Jul 2015 - Aug 2015,309 members,N/A
Rousoku-hime,Manga (2 vols),Oct 2008 - Dec 2010,242 members,N/A
Hojotai Mozukus,Manga (3 vols),Oct 2011 - Nov 2014,52 members,N/A
Tsuyokute Kakkoii Joshi wa Suki desu ka?,Manga (? vols),Aug 2014 -,170 members,N/A
Lens to Akuma,Novel (12 vols),Oct 2006 - Nov 2009,33 members,N/A
Nobo-san to Kanojo?,Manga (8 vols),Apr 2012 - Aug 2017,290 members,N/A
Concierge Imperial,Manga (7 vols),Nov 2014 - Sep 2017,44 members,N/A
Yubisake no Koe,One-shot (? vols),Aug 2010 - Aug 2010,176 members,N/A
Manga Senmon Gakkousei no Seishun,Manga (2 vols),Oct 2012 - Sep 2015,51 members,N/A
Hashi no Shita no Batman,One-shot (? vols),Sep 2003 - Sep 2003,125 members,N/A
Iburigurashi,Manga (? vols),Jan 2014 -,54 members,N/A
Kanshiki Joshi no Hayama-san,Manga (? vols),Apr 2014 -,39 members,N/A
Hakoniwa to Papillon,Manga (1 vols),Feb 2015 - Jun 2015,47 members,N/A
Kidou Senshi Gundam Seed Astray: Tenkuu no Princess,Manga (4 vols),Aug 2015 - Jan 2019,61 members,N/A
Narusawa-kun wa Oishii Kao ni Koishiteru,Manga (4 vols),Mar 2015 - Aug 2017,65 members,N/A
Tokyo Share Story,Manga (2 vols),Apr 2015 - Mar 2016,33 members,N/A
Joukamachi no Dandelion Anthology Comic,Manga (? vols),Aug 2015 -,182 members,N/A
Boku to Furusato Restaurant,Manga (3 vols),Jun 2011 - Feb 2014,178 members,N/A
Hanjuku Ninpouchou,Manga (9 vols),Mar 1994 - Mar 1999,24 members,N/A
Gothic-kon,Manga (? vols),Jun 2007 - Jun 2009,46 members,N/A
Gifuu Doudou!!: Naoe Kanetsugu - Maeda Keiji Hanagatari,Manga (? vols),Mar 2014 -,68 members,N/A
Yes!,Manga (3 vols),Nov 2011 - Jun 2013,53 members,N/A
Moment: Eien no Isshun,Manga (? vols),Jan 2014 -,43 members,N/A
Imagine,Manga (11 vols),Aug 1994 - Oct 1999,52 members,N/A
Bishoku Tantei Akechi Gorou,Manga (? vols),Jun 2015 -,176 members,N/A
Ai no Jidai: Ichigoichie,Manga (1 vols),Jul 2015 - Sep 2015,190 members,N/A
A Thousand Petals,Manhwa (5 vols),Oct 2013 - Apr 2015,270 members,N/A
Idore! Green♥Rhapsody,Manga (? vols),Aug 2015 -,57 members,N/A
Ai-sensei wa Wakaranai,Manga (3 vols),Sep 2015 - Feb 2017,102 members,N/A
Kujou-kun no Bimi naru Houkago,Manga (2 vols),Sep 2015 - Feb 2017,26 members,N/A
Ja Ja Ja Jan!,Manga (2 vols),Sep 2015 - May 2017,19 members,N/A
Kouketsu no Kumikyoku,Manga (3 vols),Oct 2015 - Apr 2017,33 members,N/A
Crisis Girls,Manga (2 vols),Oct 2015 - Nov 2016,311 members,N/A
Machi no Tom & Sawyer,Manga (3 vols),Sep 2015 - Mar 2017,174 members,N/A
Kyoukai no Micrina,Manga (3 vols),Sep 2015 - Aug 2017,60 members,N/A
Hoshino-san Chi no Aru to Kana,Manga (2 vols),Sep 2015 - Aug 2017,156 members,N/A
Hanamachi Hero,Manga (4 vols),Sep 2015 - Jan 2017,51 members,N/A
Muzokusei Mahou no Messiah,Novel (? vols),Aug 2015 -,44 members,N/A
Iwaihime,Manga (2 vols),Sep 2015 - Jul 2016,623 members,N/A
Taiyou no Channel,Novel (? vols),Dec 2014 -,47 members,N/A
Zutto Kimi wo Matteita,Novel (1 vols),Sep 2015 - Sep 2015,18 members,N/A
Mafia no Ai wa Shishi no You ni,Novel (1 vols),Sep 2015 - Sep 2015,19 members,N/A
Nayuta,Manga (3 vols),Jul 1981 - Sep 1982,59 members,N/A
Betsuni Houridashita Wake ja Nai n dakedo....: Mikan no Manga ga Aru Riyuu,Manga (1 vols),2005 - 2012,76 members,N/A
Ashita Aozora,Manga (2 vols),Apr 1986 - Feb 1987,90 members,N/A
Nichijou Sahanji no Musuko,One-shot (? vols),May 1982 - May 1982,119 members,N/A
Youkai Watch: Wakuwaku☆Nyanderful Days,Manga (? vols),Dec 2013 -,95 members,N/A
Game Parody 4-koma Grand Prix,Manga (11 vols),1994 - 1998,18 members,N/A
4D,Manga (4 vols),Aug 2015 - Apr 2016,110 members,N/A
Sukuwanakya Dame desu ka? Isekai,Novel (? vols),Oct 2015 -,53 members,N/A
G-senjou no Anata to Watashi,Manga (4 vols),Nov 2012 - Apr 2018,97 members,N/A
Ushinawareta Toki wo Motomete,Manga (1 vols),May 2009 - May 2009,76 members,N/A
Dragon-san wa Tomodachi ga Hoshii!,Novel (5 vols),Sep 2015 - Apr 2018,83 members,N/A
GM ga Isekai ni Login Shimashita.,Novel (4 vols),Dec 2015 - Oct 2017,68 members,N/A
Believe,Manga (7 vols),2004 - 2006,41 members,N/A
Shu no Kigen,Manga (1 vols),Jun 2009 - Jun 2009,75 members,N/A
Houhou Josetsu,Manga (1 vols),Apr 2011 - Apr 2011,47 members,N/A
"Watashi to Koneko to, Tokidoki, Kimi to.",Manga (2 vols),Aug 2015 - Aug 2016,77 members,N/A
Doraku Bengoshi,Manga (12 vols),1995 - 2000,27 members,N/A
3/16 Jiken,Novel (1 vols),Mar 2011 - Mar 2011,116 members,N/A
Samurai Sensei,Manga (? vols),Nov 2013 -,116 members,N/A
HaruChika,Manga (? vols),Oct 2015 -,536 members,N/A
Tenseisha wa Cheat wo Nozomanai,Novel (? vols),May 2014 -,208 members,N/A
Watashi ni Mienai Koigokoro,Manga (1 vols),Mar 2013 - Jul 2015,75 members,N/A
1 Senman no Koibito: Ai wo Takarakuji de Kau Onna,Manga (1 vols),Oct 2005 - Oct 2005,43 members,N/A
Ai nante Nai Nante,Manga (1 vols),Jul 2006 - Jul 2006,30 members,N/A
Ai to Seishun no Hatsunetsu,Manga (1 vols),Dec 1997 - Dec 1997,37 members,N/A
Yuusha-sama no Oshishou-sama,Novel (7 vols),May 2014 - Apr 2017,259 members,N/A
Isekai Cheat Sensou,Novel (? vols),Sep 2015 -,328 members,N/A
Nanoka no Kuigami,Novel (4 vols),Sep 2015 - Nov 2016,62 members,N/A
Makyou Senku no Nightingale,Novel (1 vols),Oct 2015 - Oct 2015,38 members,N/A
Isekai Youkai Summoner,Novel (? vols),Oct 2015 -,36 members,N/A
Shinmai Maou no Testament: Light!,Novel (1 vols),Oct 2015 - Oct 2015,771 members,N/A
Rental Shop Ariche,Novel (? vols),Oct 2015 -,40 members,N/A
Dahlia,Manga (1 vols),Aug 2015 - Feb 2016,47 members,N/A
Dynamic Heroes,Manga (4 vols),Jun 2004 - Jul 2007,192 members,N/A
Dororo to Enma-kun,Manga (2 vols),Nov 2012 - Feb 2014,150 members,N/A
Maou Dante Tai Getter Robo G,Manga (1 vols),Aug 2011 - Dec 2011,114 members,N/A
Mazinkaiser Tai Shin Getter Robo,One-shot (? vols),Sep 1998 - Sep 1998,139 members,N/A
Enma Versus: Dororon Enma-kun Gaiden,One-shot (? vols),Jul 2010 - Jul 2010,82 members,N/A
JK Shousetsuka ppoi!,Manga (2 vols),Aug 2015 - Aug 2017,67 members,N/A
Idol Chronicle,Manga (2 vols),Apr 2015 - Feb 2016,28 members,N/A
Shinjitsu no Mahou Shoujo,Manga (6 vols),Apr 2014 - Jul 2016,31 members,N/A
The Daughter of the General,Manhwa (14 vols),Jan 2012 - Jul 2012,133 members,N/A
Gosling,Manga (4 vols),Dec 2011 - Jul 2013,35 members,N/A
Isekai Bouzu wa Namagusai,Novel (1 vols),Sep 2015 - Sep 2015,40 members,N/A
Akatsuki no Joou to Chiri no Yuusha,Novel (? vols),Oct 2015 -,68 members,N/A
Ore wa Ryouri to Kaji de Maou wo Honenuki ni Suru: Isekai kara Hajimaru Shufu Musou,Novel (1 vols),Sep 2015 - Sep 2015,76 members,N/A
Maou ga Oosugiru Yononaka ni Tsugeru,Novel (2 vols),Jan 2014 - Jun 2014,34 members,N/A
Level 1 Rakudai Eiyuu no Isekai Kouryaku,Novel (? vols),Sep 2015 -,128 members,N/A
Break x Trigger,Novel (1 vols),Sep 2015 - Sep 2015,34 members,N/A
Karakuri No Face,Novel (1 vols),Sep 2015 - Sep 2015,20 members,N/A
Yozakura Vanpanella,Novel (? vols),Sep 2015 -,78 members,N/A
Fake Game,Novel (1 vols),Sep 2015 - Sep 2015,49 members,N/A
Double Happiness,Manga (1 vols),Aug 2012 - Dec 2012,44 members,N/A
Cook Doppo,Manga (4 vols),Jun 2011 - Sep 2012,30 members,N/A
Bistro Pas Mal no Jikenbo,Manga (2 vols),Oct 2011 - Sep 2012,42 members,N/A
Tsuioku no Apeiron,Manga (2 vols),Feb 2015 - Dec 2015,102 members,N/A
Shin Obake no Q-tarou,Manga (4 vols),Apr 1971 - Mar 1973,56 members,N/A
Kurogane no Linebarrel 0,Manga (1 vols),Jun 2004 - Sep 2006,95 members,N/A
Changeling,Manga (1 vols),Apr 1986 - May 1989,51 members,N/A
Keitai Denjuu Telefang 2,Manga (? vols),Jan 2002 - Jun 2002,18 members,N/A
Imagine 29,Manga (3 vols),Jan 2000 - Aug 2001,71 members,N/A
PCP: Kotou no Kodomotachi,Novel (1 vols),Oct 2015 - Oct 2015,614 members,N/A
Jet Stream Mission,Manga (1 vols),1995 - 1995,14 members,N/A
Gensou,Manga (1 vols),1992 - 1992,20 members,N/A
Kyosuurei,Manga (3 vols),May 2009 - Feb 2011,83 members,N/A
Ringlet,Manga (1 vols),Feb 1993 - Jan 1995,24 members,N/A
Seitai Sample: Hoshizora ni Rachirareta Idol,Novel (1 vols),Sep 2015 - Sep 2015,21 members,N/A
Idainaru Daigensui no Tenshin,Novel (? vols),Sep 2015 -,71 members,N/A
Keppuu no Legends,Novel (2 vols),Sep 2015 - Dec 2015,42 members,N/A
Kachikomi Bride!,Novel (1 vols),Sep 2015 - Sep 2015,74 members,N/A
Kimi ni Tomodachi ga Dekiru made.,Manga (5 vols),Apr 2012 - Jan 2015,35 members,N/A
Mikazuki to Nagareboshi,Manga (? vols),Nov 2014 -,373 members,N/A
Do Da Dancin'!: Venice Kokusai-hen,Manga (13 vols),Dec 2007 - Jul 2013,50 members,N/A
Dancing Generation,Manga (4 vols),Mar 1981 - Jun 1982,35 members,N/A
Ginga: The Last Wars,Manga (22 vols),May 2015 - Dec 2018,176 members,N/A
Blue Thermal: Aonagi Daigaku Taiikukai Koukuu-bu,Manga (6 vols),Apr 2015 - Nov 2017,60 members,N/A
Amenbo Akai na!,Manga (2 vols),Jun 2014 - May 2015,40 members,N/A
Ginrou Blood Bone,Manga (? vols),Apr 2015 -,437 members,N/A
N★Y Bird,Manga (3 vols),Oct 1982 - Sep 1983,26 members,N/A
Raijuu Biribiri: Ooedo Ayakashi Hankachou,Manga (6 vols),Apr 2012 - Jul 2015,44 members,N/A
Food Fighter Tabelu,Manga (7 vols),Sep 2015 - Apr 2018,76 members,N/A
Tonari no Gaikokujin,Manga (2 vols),Feb 2012 - Nov 2013,30 members,N/A
Eisen Flügel: Dangan no Uta yo Ryuu ni Todoiteiru ka,Manga (4 vols),May 2016 - Sep 2018,106 members,N/A
Oichii tte Yutte yo.,Manga (2 vols),Feb 2014 - Apr 2015,68 members,N/A
Rasha to Rasha: Koji Butai no Sekai Eikyuu Sensou,Manga (4 vols),Jun 2010 - Jun 2012,32 members,N/A
Rasha to Rasha: Jaaku na Yurushigatai Itan no,Manga (3 vols),Aug 2012 - Jan 2014,31 members,N/A
Manabi Straight! Sakra,Manga (2 vols),Jan 2015 - Feb 2016,54 members,N/A
Sekitou,Manga (3 vols),Apr 2015 - May 2016,110 members,N/A
Kami no Toride,Manga (1 vols),1970 - 1977,105 members,N/A
Oyobi desu ka!? Hacka Doll,Manga (2 vols),Mar 2015 - Dec 2015,310 members,N/A
Chiguhagu Shoujo no Dialogue,Manga (2 vols),Sep 2013 - Jul 2015,44 members,N/A
Madousho Sakka ni Narou!,Novel (? vols),Sep 2015 -,51 members,N/A
Mononokesou no NEET-domo,Manga (3 vols),Feb 2014 - Aug 2015,37 members,N/A
Holmes Meets Lupin,Manga (1 vols),Apr 2015 - Jun 2015,36 members,N/A
Grimoire wa Oshiete Kurenai,Novel (? vols),Sep 2015 -,86 members,N/A
Senkan Gakuen no Gramritter,Novel (? vols),Sep 2015 -,48 members,N/A
Vorpal Bunny,Novel (? vols),Sep 2015 -,36 members,N/A
Web Shousetsuka ni Narou yo.,Novel (1 vols),Sep 2015 - Sep 2015,49 members,N/A
Ore no Ibukuro wa Kanojo ni Nigirareteiru.,Novel (1 vols),Oct 2015 - Oct 2015,74 members,N/A
"Joshiryou no Ryouchou ni Natta Ore wa, Gotouchi Joshi to Seishun Dekiru darou ka",Novel (? vols),Oct 2015 -,42 members,N/A
Dekoboko Animation,Manga (2 vols),Jun 2015 - Sep 2015,192 members,N/A
Jiken Kisha Totoko!,Manga (4 vols),Dec 2011 - May 2016,79 members,N/A
Jane and Harlequin,Manhwa (? vols),Aug 2012 - Aug 2012,57 members,N/A
Shiro no Falucca,Manga (8 vols),1987 - 1989,31 members,N/A
Gekou Fukanou,Novel (2 vols),Jun 2015 - Sep 2015,23 members,N/A
Love x Love Whistle,Novel (1 vols),Sep 2015 - Sep 2015,24 members,N/A
Soukai Genyuuden,Novel (? vols),Apr 2011 -,13 members,N/A
Sora to Kyoukai no Ephyra,Novel (? vols),Sep 2015 -,33 members,N/A
Yangotonaki Hitorijime,Novel (1 vols),Sep 2015 - Sep 2015,17 members,N/A
Teitoku Ouji no Okiniiri Omae shika Mienai,Novel (1 vols),Sep 2015 - Sep 2015,15 members,N/A
Bakuman.,Novel (1 vols),Sep 2015 - Sep 2015,582 members,N/A
Boku Girl: Boku no Arbeit,Novel (1 vols),Sep 2015 - Sep 2015,656 members,N/A
Oda Nobuna no Yabou: Azuchi Nikki,Novel (? vols),Sep 2015 -,160 members,N/A
Isekai no Koukyuu de Koisare Aisarehime ni Narimashita,Novel (1 vols),Sep 2015 - Sep 2015,18 members,N/A
Ginen no Nanatsu Hime to Nanaka no Ouji,Novel (1 vols),Sep 2015 - Sep 2015,48 members,N/A
Migawari Maker,Manga (3 vols),Oct 2013 - Feb 2015,26 members,N/A
Osorubeshi!!! Otonashi Karen-san,Manga (2 vols),Jan 1995 - Jul 1996,24 members,N/A
Seikimatsu Lovers,Manga (1 vols),Oct 1996 - Oct 1996,20 members,N/A
Korekara Combat,Manga (7 vols),Jan 2013 - Aug 2016,69 members,N/A
Money Football,Manga (7 vols),Apr 2015 - Aug 2016,34 members,N/A
Sei Luminous Jogakuin,Novel (2 vols),Nov 1998 - Jan 1999,31 members,N/A
Ikebukuro Otome Road Senki,Manga (? vols),Sep 2015 -,53 members,N/A
Sugar Dog,Manga (4 vols),Sep 2015 - Oct 2017,303 members,N/A
Marginal Operation: Kuuhaku no Ichinen,Novel (2 vols),Sep 2015 - Mar 2016,74 members,N/A
Iromon Girl,Manga (2 vols),Aug 2015 - May 2016,43 members,N/A
Occultic;Nine,Manga (4 vols),Oct 2015 - May 2017,574 members,N/A
Magamagashiki Kemono no Yuku Hate wa,Manga (5 vols),Apr 2008 - Dec 2013,42 members,N/A
Shuumatsu Sekai no Spell Breaker,Novel (2 vols),Oct 2015 - Jun 2016,45 members,N/A
Kabushiki Joujou wo Mezashite Daihyou Torishimariyaku Oniichan ni Shuunin Itashimashita,Novel (1 vols),Nov 2015 - Nov 2015,38 members,N/A
Deban desu yo! Kaguya-sama,Novel (? vols),Oct 2015 -,102 members,N/A
Himitsu no Ibitsu,Manga (1 vols),Sep 2015 - Mar 2016,95 members,N/A
Lady & Oldman,Manga (? vols),Oct 2015 -,307 members,N/A
"Omae wo Otaku ni Shiteyaru kara, Ore wo Riajuu ni Shitekure!: Azuki End",Novel (1 vols),Jul 2014 - Jul 2014,87 members,N/A
Yokubou Hatsukoi,Manga (1 vols),Sep 2013 - Sep 2013,60 members,N/A
Daimaou no Setsuna,Manga (1 vols),Oct 2012 - Aug 2013,97 members,N/A
Bungo,Manga (? vols),Dec 2014 -,349 members,N/A
Offline Game,Manga (8 vols),Oct 2007 - Jan 2014,65 members,N/A
Shin Crayon Shin-chan,Manga (? vols),Aug 2010 -,139 members,N/A
Tensui,Manga (2 vols),Aug 1992 - Oct 1994,44 members,N/A
Odoro: Youko to Tanonaka no Hyakkikou Jikenbo,Manga (4 vols),Sep 2001 - Jun 2003,61 members,N/A
Yowamushi Resound,Manga (1 vols),Dec 2013 - Nov 2014,325 members,N/A
Hashire Jiroo,Manga (? vols),Feb 2015 -,19 members,N/A
Chizuka Map (2010),Manga (3 vols),Oct 2010 - Mar 2015,24 members,N/A
Sawai-ke no Gohan wa Musuko no Hikari ga Tsuketteiru.,Manga (3 vols),Nov 2010 - Mar 2015,22 members,N/A
Norowareta Koutei to Hyakuninme no Hanayome,Novel (1 vols),Sep 2015 - Sep 2015,25 members,N/A
Kohaku no Riddle,Novel (? vols),Sep 2015 -,51 members,N/A
Katsu Curry no Hi,Manga (2 vols),Nov 2014 - Oct 2015,109 members,N/A
Furuginuya Monyouchou,Manga (? vols),Apr 2014 -,22 members,N/A
Da Vinci-kei Joshikousei,Manga (? vols),Sep 2013 -,19 members,N/A
Clave no Kagi,Manga (? vols),Sep 2013 -,35 members,N/A
Bat x Dragon,Manga (2 vols),Jun 2010 - Oct 2010,37 members,N/A
Nyan Communication,Manga (3 vols),Mar 2013 - Jun 2016,29 members,N/A
Bokutachi no Hyakumonogatari,One-shot (? vols),Aug 2015 - Aug 2015,65 members,N/A
Neko Ramen Monogatari: Koneko no Thomas,Manga (1 vols),Jul 2011 - Apr 2012,32 members,N/A
Michigaeru,One-shot (? vols),Aug 2015 - Aug 2015,100 members,N/A
Kiss shitemo Ii Koro,Manga (1 vols),Jul 2013 - Oct 2013,244 members,N/A
Enjoy Ghost Company Life!,Manhwa (? vols),-,45 members,N/A
Bokura wa Tsuma wo Aishiteru,Manga (3 vols),Aug 2013 - Jul 2015,30 members,N/A
Neko Tantei,Manga (2 vols),May 2012 - Mar 2014,31 members,N/A
UNCOntrollable,Manga (? vols),Apr 2015 -,102 members,N/A
Watashi ga Mama yo,Manga (5 vols),1991 - 1996,36 members,N/A
Shikiru no? Kasukabe-san,Manga (3 vols),Jul 2004 - Oct 2007,33 members,N/A
Saihate no Cyclops,Manga (2 vols),Nov 2011 - May 2012,27 members,N/A
Kunoichi Ibun: Tenshi wa Maiorita,Manga (2 vols),Oct 2009 - Jan 2015,51 members,N/A
Watashi to Renai shiyo!,One-shot (? vols),Aug 2014 - Aug 2014,142 members,N/A
Chitei Ryokou,Manga (4 vols),Sep 2015 - Oct 2017,209 members,N/A
Mahoutsukai Kouhosei to Maou-sama,Manga (1 vols),Nov 2014 - Apr 2015,48 members,N/A
Kenja no Tsurugi,Novel (? vols),Sep 2015 -,102 members,N/A
Harem e no Kiyoku Tadashiki Route,Novel (? vols),Nov 2015 -,45 members,N/A
Meiji Kottou Kitan Yumejii,Manga (3 vols),Dec 2009 - Aug 2014,34 members,N/A
Tokyo 7th Sisters Comic Anthology,Manga (1 vols),Jul 2015 - Jul 2015,191 members,N/A
Souko Shoujo wa Osuki desu ka?,Novel (3 vols),May 2013 - Feb 2014,32 members,N/A
Jonpei to Boku to,Novel (4 vols),Sep 2006 - Nov 2007,17 members,N/A
Little Busters!,Novel (? vols),Oct 2013 -,187 members,N/A
Seraphim Zone,Novel (? vols),Mar 2015 -,24 members,N/A
Full Scale Summer,Novel (1 vols),Aug 2013 - Aug 2013,31 members,N/A
Hakui no Gensoujutsushi to Kurogane no Harmonica,Novel (2 vols),Nov 2010 - Mar 2011,43 members,N/A
Slime Morimori,Manga (11 vols),Oct 2003 - Sep 2015,43 members,N/A
DT Eightron,Manga (1 vols),Jun 1999 - Dec 1999,30 members,N/A
Zangetsuden,Novel (3 vols),Sep 2008 - Jun 2009,20 members,N/A
Ryuuban Nanachou: Dragon Buster,Novel (2 vols),May 2008 - Jan 2012,28 members,N/A
Boku wa Kanojo no 9-banme,Novel (1 vols),Aug 2008 - Aug 2008,28 members,N/A
Ahiru no Ballet,Manga (1 vols),Jan 2015 - Aug 2015,40 members,N/A
Symmetrys,Manga (2 vols),May 2014 - Jun 2015,134 members,N/A
Hitomishiri-bu wa Kenzen desu,Novel (2 vols),Sep 2011 - Jan 2012,33 members,N/A
Layered Summer,Novel (1 vols),Jan 2010 - Jan 2010,27 members,N/A
Zeitaku na Kakeochi: Koushaku-sama wa Sakuryaku ga Osuki,Novel (1 vols),Sep 2015 - Sep 2015,16 members,N/A
Nightingale Renya: Amai Mitsu no Ori,Novel (1 vols),Sep 2015 - Sep 2015,13 members,N/A
Kasugazaka Koukou Manga Kenkyuubu,Novel (? vols),Nov 2013 -,70 members,N/A
Kuroneko to Hakushaku Reisoku: Okashi no Ie no Okashina Jikenbo,Novel (1 vols),Oct 2015 - Oct 2015,28 members,N/A
"Rolling Combat!: Ochikobore Jieikan, Isekai no Chuushin de Fujun na Ai wo Sakebu",Novel (1 vols),Oct 2015 - Oct 2015,25 members,N/A
K: Ao no Jikenbo,Novel (2 vols),Oct 2015 - Dec 2015,123 members,N/A
Migawari no Bara wa Kasshoku no Ookami ni Mederareru,Novel (? vols),May 2015 -,18 members,N/A
Kiruto,Manga (2 vols),Dec 2004 - Dec 2005,24 members,N/A
Shishimai Girl,Manga (2 vols),Jul 2015 - Aug 2016,26 members,N/A
One + One,One-shot (? vols),2010 - 2010,24 members,N/A
Lulumate,Manga (2 vols),Aug 2014 - Sep 2016,32 members,N/A
Kiruto S,Manga (10 vols),Apr 2006 - Nov 2011,42 members,N/A
Kiruto T,Manga (2 vols),Mar 2012 - Aug 2013,20 members,N/A
Saint Legend,Manhua (43 vols),2000 - 2006,34 members,N/A
Ongaku to Manga to Hito,Manga (1 vols),Apr 2006 - Dec 2011,34 members,N/A
Tokyo Mate,Manga (1 vols),Nov 2005 - Feb 2012,27 members,N/A
Nanatsuboshi Tea Time,Manga (1 vols),Aug 2015 - Aug 2016,145 members,N/A
Fighting☆Witch,Novel (1 vols),Oct 2013 - Oct 2013,27 members,N/A
Kanojo wa Warosu no Meishu-sama,Novel (2 vols),Dec 2012 - Mar 2013,34 members,N/A
Dessert Eagle,Manga (5 vols),Aug 2015 - May 2016,68 members,N/A
Cyan no Yuuutsu na Juu,Novel (1 vols),Nov 2011 - Nov 2011,26 members,N/A
Bukita-kun,Manga (3 vols),1988 - 1998,52 members,N/A
Sono Mugen no Saki e,Novel (? vols),Oct 2015 -,76 members,N/A
Gundam Novels: Senkou to Natta Senshi-tachi,Novel (1 vols),Apr 2002 - Jan 2003,84 members,N/A
Akumu-jou no Aruji,Manga (1 vols),Apr 2007 - Oct 2008,25 members,N/A
Flower Knight Girl,Novel (? vols),Oct 2015 -,130 members,N/A
Gekkou Senki Ariel: Nanairo no Hitomi wo Motsu Oujo,Novel (? vols),Oct 2015 -,39 members,N/A
Nekojima 2-choume 22-banchi,Manga (? vols),Jun 2010 - May 2012,42 members,N/A
Fate/tiger Colosseum Upper,One-shot (? vols),Aug 2007 - Aug 2007,202 members,N/A
Kanashimi Chimera,Novel (4 vols),Feb 2006 - Jun 2007,24 members,N/A
Chiiko Basketball!,Manga (2 vols),Aug 2015 - Sep 2017,114 members,N/A
Neko nanka Yondemo Konai.,Manga (5 vols),2012 - 2015,49 members,N/A
Bad∞End∞Night,Novel (2 vols),Nov 2014 - Nov 2014,326 members,N/A
Hakuba no Oyomesan,Manga (3 vols),Mar 2014 - May 2016,33 members,N/A
Gakuen x Fuusa,Manga (10 vols),May 2014 - Feb 2018,258 members,N/A
Dokusaisha Zeke,Manga (3 vols),Aug 2015 - May 2016,137 members,N/A
Shokugeki no Souma: Fratelli Aldini,Novel (? vols),Oct 2015 -,862 members,N/A
Yuusha-sama ni Ikinari Kyuukon sareta no desu ga,Novel (4 vols),Feb 2012 - Oct 2014,127 members,N/A
Breath of Fire 6: Botanical Chronicle,Manga (1 vols),Sep 2015 - Feb 2016,48 members,N/A
Toki-iro Triangle,Manga (5 vols),Jun 1984 - Dec 1986,28 members,N/A
Sora no Ao ga Me ni Shimiru,One-shot (? vols),Apr 1992 - Apr 1992,16 members,N/A
Black Tea,Manga (1 vols),Sep 2001 - Sep 2001,19 members,N/A
Brother☆Beat,Manga (1 vols),Nov 2005 - Jan 2006,24 members,N/A
Kabocha no Caramel,Manga (1 vols),Feb 1996 - Aug 1996,24 members,N/A
Kirei ni Naritai!,Manga (6 vols),1999 - 2006,39 members,N/A
Kokuhaku wo Request,Manga (1 vols),Dec 1995 - Dec 1995,20 members,N/A
La Vie en Bouzu,Manga (1 vols),Dec 2010 - Jun 2011,26 members,N/A
Fushiawase nara Te wo Tsunagou!,Novel (1 vols),Aug 2008 - Aug 2008,26 members,N/A
Aka no 9-ban [Reijuu],Novel (1 vols),Jan 2010 - Jan 2010,38 members,N/A
Kidou Senshi Gundam: Tekketsu no Orphans,Manga (3 vols),Oct 2015 - Oct 2016,577 members,N/A
Kyou no Ani Imouto,Manga (? vols),Oct 2015 -,55 members,N/A
Mako-san to Hachisuka-kun.,Manga (? vols),Aug 2010 - Mar 2016,338 members,N/A
